epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
94,242.103,0.87543,0.53126,0.99494,0.96998,0.94645,0.94168,0.61364,1.29499,1.19729,1.3258,0.00099044,0.00099044,0.00099044
95,244.55,0.88629,0.53948,0.97468,0.96947,0.94645,0.94733,0.61894,1.31852,1.14055,1.32572,0.000985724,0.000985724,0.000985724
96,247.046,0.89436,0.53854,0.9815,0.97254,0.95274,0.97586,0.62818,1.27519,0.77072,1.23697,0.000981008,0.000981008,0.000981008
97,249.624,0.90818,0.58073,0.99404,0.95848,0.96249,0.97804,0.63255,1.2548,0.7067,1.20481,0.000976293,0.000976293,0.000976293
98,252.107,0.89497,0.5367,0.98732,0.96705,0.9491,0.96975,0.64515,1.23851,0.62563,1.23661,0.000971577,0.000971577,0.000971577
99,254.556,0.84158,0.51413,0.95959,0.95557,0.93657,0.96273,0.63384,1.23658,0.62929,1.27107,0.000966861,0.000966861,0.000966861
100,257.027,0.87136,0.52616,0.96787,0.98822,0.9779,0.98352,0.65205,1.20131,0.60969,1.25694,0.000962146,0.000962146,0.000962146
101,259.511,0.8815,0.51446,0.96912,0.97207,0.95524,0.97678,0.64834,1.30088,0.72367,1.33298,0.00095743,0.00095743,0.00095743
102,262.05,0.85455,0.55128,0.96033,0.97313,0.89732,0.9358,0.61729,1.32015,0.9777,1.41944,0.000952714,0.000952714,0.000952714
103,264.575,0.93456,0.53472,0.97215,0.98651,0.90492,0.9465,0.62462,1.32474,1.0005,1.43046,0.000947999,0.000947999,0.000947999
104,267.064,0.89313,0.53825,0.96233,0.98146,0.90842,0.92734,0.61832,1.26632,0.88104,1.36185,0.000943283,0.000943283,0.000943283
105,269.514,0.92113,0.55145,1.00627,0.9644,0.88625,0.91703,0.60763,1.29182,0.94167,1.35129,0.000938567,0.000938567,0.000938567
106,271.961,0.8576,0.51375,0.96077,0.96793,0.9249,0.96887,0.61778,1.29019,0.8573,1.30477,0.000933851,0.000933851,0.000933851
107,274.405,0.90361,0.52653,0.98462,0.94098,0.93173,0.96329,0.63288,1.26857,0.82057,1.2861,0.000929136,0.000929136,0.000929136
108,276.931,0.81812,0.50561,0.95447,0.95158,0.88688,0.93803,0.61172,1.2584,0.79869,1.27459,0.00092442,0.00092442,0.00092442
109,279.469,0.85742,0.52231,0.97079,0.94349,0.9279,0.96588,0.63471,1.25736,0.71577,1.25721,0.000919704,0.000919704,0.000919704
110,281.947,0.91216,0.53482,0.96844,0.98052,0.96657,0.97904,0.65956,1.21575,0.63634,1.21742,0.000914989,0.000914989,0.000914989
111,284.433,0.86277,0.52525,0.95209,0.9815,0.93428,0.98053,0.63586,1.23312,0.62025,1.22954,0.000910273,0.000910273,0.000910273
112,286.884,0.90919,0.52428,0.97342,0.98299,0.92476,0.97792,0.6167,1.29206,0.68384,1.27841,0.000905557,0.000905557,0.000905557
113,289.332,0.84822,0.51076,0.97157,0.98399,0.92099,0.96642,0.62095,1.27462,0.73441,1.25214,0.000900842,0.000900842,0.000900842
114,291.855,0.82826,0.49126,0.9561,0.95695,0.94966,0.95899,0.63184,1.21361,0.95223,1.25515,0.000896126,0.000896126,0.000896126
115,294.363,0.86766,0.51906,0.98618,0.95545,0.91131,0.95316,0.62947,1.22469,0.98947,1.27548,0.00089141,0.00089141,0.00089141
116,296.848,0.84344,0.50814,0.94469,0.93429,0.93415,0.94771,0.61328,1.27731,0.95725,1.29766,0.000886694,0.000886694,0.000886694
117,299.293,0.88115,0.52407,0.97838,0.96689,0.95274,0.94706,0.61415,1.28414,0.94618,1.31367,0.000881979,0.000881979,0.000881979
118,301.76,0.85927,0.50137,0.95022,0.9728,0.93387,0.95592,0.64164,1.26208,1.01425,1.32175,0.000877263,0.000877263,0.000877263
119,304.233,0.80723,0.49606,0.95485,0.93889,0.90213,0.94862,0.64184,1.25654,1.04729,1.30906,0.000872547,0.000872547,0.000872547
120,306.778,0.8629,0.5179,0.97393,0.94249,0.90163,0.94856,0.63271,1.1938,1.09224,1.26964,0.000867832,0.000867832,0.000867832
121,309.296,0.82626,0.49733,0.96054,0.94311,0.90211,0.94061,0.641,1.22475,1.13404,1.29478,0.000863116,0.000863116,0.000863116
122,311.763,0.85955,0.49654,0.96057,0.94264,0.90842,0.94069,0.64553,1.23139,1.09566,1.24725,0.0008584,0.0008584,0.0008584
123,314.205,0.84173,0.49658,0.95513,0.9353,0.91471,0.95967,0.65236,1.17714,0.82114,1.20154,0.000853685,0.000853685,0.000853685
124,316.668,0.84998,0.49206,0.95896,0.94021,0.91471,0.96019,0.64891,1.22011,0.79389,1.22343,0.000848969,0.000848969,0.000848969
125,319.139,0.82231,0.49294,0.95703,0.94187,0.91471,0.96101,0.64098,1.26497,0.75415,1.23573,0.000844253,0.000844253,0.000844253
126,321.69,0.81326,0.48487,0.9448,0.93367,0.90842,0.94862,0.62454,1.22763,0.69015,1.23972,0.000839537,0.000839537,0.000839537
127,324.161,0.86013,0.49226,0.95415,0.95694,0.9067,0.95161,0.63737,1.2152,0.69894,1.21694,0.000834822,0.000834822,0.000834822
128,326.619,0.82689,0.49878,0.92458,0.96474,0.90981,0.95025,0.63623,1.23526,0.98774,1.21238,0.000830106,0.000830106,0.000830106
129,329.061,0.7985,0.48105,0.94209,0.96692,0.91471,0.94034,0.6256,1.26719,1.08742,1.2591,0.00082539,0.00082539,0.00082539
130,331.536,0.82675,0.49619,0.95873,0.95396,0.90842,0.92681,0.62672,1.27665,1.09422,1.32932,0.000820675,0.000820675,0.000820675
131,333.989,0.83145,0.48371,0.94307,0.963,0.90842,0.93,0.62377,1.26017,1.03927,1.32804,0.000815959,0.000815959,0.000815959
132,336.514,0.85091,0.50133,0.94363,0.97273,0.93058,0.94623,0.61653,1.2609,1.1153,1.34314,0.000811243,0.000811243,0.000811243
133,338.999,0.80146,0.50727,0.95386,0.97451,0.93301,0.95037,0.62857,1.27269,1.1343,1.34972,0.000806528,0.000806528,0.000806528
134,341.465,0.78794,0.4727,0.95941,0.9595,0.95659,0.95099,0.6362,1.24768,0.96364,1.34071,0.000801812,0.000801812,0.000801812
